,Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Drainage Name,Year,Month,Day,cluster
89,116893,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Ile Saint-Regis buoy D82",0.7860387201768813,-1.302195358786667,Raisin River-St. Lawrence River,1992,12.0,,0
90,116895,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Ile Saint-Regis buoy D84",0.7860037662934186,-1.3022879036485235,Raisin River-St. Lawrence River,1992,12.0,,0
91,116891,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Ile Saint-Regis buoy D89",0.7856983682318388,-1.3029860512318174,Raisin River-St. Lawrence River,1992,12.0,,0
92,116892,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Ile Saint-Regis buoy D91",0.7856739337968439,-1.303014014373494,Raisin River-St. Lawrence River,1992,12.0,,0
93,116889,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Ile Saint-Regis buoy D92",0.7856459704806341,-1.303096039786883,Raisin River-St. Lawrence River,1992,12.0,,0
94,116890,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Ile Saint-Regis buoy D93",0.7856355177037441,-1.3030732696978629,Raisin River-St. Lawrence River,1992,12.0,,0
95,116888,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Ile Saint-Regis buoy D96",0.7855150761972554,-1.3032041641557746,Raisin River-St. Lawrence River,1992,12.0,,0
96,116884,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Macdonald Island buoy 78",0.7839774336213324,-1.311309494844119,Raisin River-St. Lawrence River,1992,12.0,,0
97,116875,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Maitland Light buoy M",0.7789299443916247,-1.3195893959822416,Headwaters St. Lawrence River,1992,12.0,,0
98,116880,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), N Iroquois Canal buoy 106",0.7827469864470532,-1.314077584594321,Raisin River-St. Lawrence River,1992,12.0,,0
99,116878,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), N Iroquois Canal buoy 108A",0.7825951864353611,-1.3143830491529453,Raisin River-St. Lawrence River,1992,12.0,,0
100,116879,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), N Iroquois Canal buoy 109",0.7827033773012971,-1.3143690674948405,Raisin River-St. Lawrence River,1992,12.0,,0
101,116887,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), SW of Hen Island buoy D95",0.7855098829700661,-1.3031692767693563,Raisin River-St. Lawrence River,1992,12.0,,0
102,116877,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Toussaint Island buoy 113",0.7821832618538199,-1.3146203367876637,Raisin River-St. Lawrence River,1992,12.0,,0
103,116886,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Weaver Shoal buoy XA",0.7844870959428537,-1.3095502106375574,Raisin River-St. Lawrence River,1992,12.0,,0
104,116885,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Weaver Shoal buoy XC",0.7843701831430466,-1.309976050205626,Raisin River-St. Lawrence River,1992,12.0,,0
